"flight_name","capacity","fuel","airline","manufacture_year","range_km","status"
"FL47132","209","28.69","Herrera and Sons Airlines","2023","8895","Retiré"
"FL45059","257","55.22","Mitchell Ltd Airlines","1998","4846","Actif"
"FL21859","305","68.74","Bailey Group Airlines","2022","5322","Actif"
"FL72105","135","69.58","Phillips Group Airlines","2004","11360","Retiré"
"FL69295","291","27.95","Carter, Welch and Merritt Airlines","2002","5728","Actif"
"FL06051","209","32.51","Green, Donovan and Orozco Airlines","2014","12495","Maintenance"
"FL64664","301","59.13","Johnson, Hood and Brown Airlines","2010","14479","Maintenance"
"FL97657","160","43.95","Garcia, Avery and Lam Airlines","2020","10488","Actif"
"FL56672","293","99.68","Solomon and Sons Airlines","2011","11842","Actif"
"FL20151","156","77.37","Martinez Ltd Airlines","2024","4614","Maintenance"
"FL78912","285","21.63","Cunningham, Andrews and Petersen Airlines","2013","10050","Maintenance"
"FL01694","370","25.76","Johnson-Robinson Airlines","2002","2067","Retiré"
"FL51741","129","14.97","Summers Ltd Airlines","2012","6113","Maintenance"
"FL60301","107","92.97","Vega-Ross Airlines","2014","6179","Maintenance"
"FL04155","361","74.52","Swanson, Torres and Ashley Airlines","1997","11487","Maintenance"
"FL20809","291","79.33","Mccoy-Reeves Airlines","2007","2530","Maintenance"
"FL81000","254","12.97","Thompson, Schneider and Hammond Airlines","2002","6763","Maintenance"
"FL08561","188","73.93","Jones LLC Airlines","2019","5502","Maintenance"
"FL77218","111","56.16","Johnson-Rogers Airlines","2007","8360","Maintenance"
"FL34038","376","82.25","Stewart, Tucker and Brown Airlines","1992","2513","Retiré"
"FL67412","195","28.77","Bond Group Airlines","2018","11412","Retiré"
"FL81252","198","36.26","Williams, Cook and Little Airlines","1993","8380","Maintenance"
"FL39540","361","57.15","Williamson-Duke Airlines","1997","3236","Retiré"
"FL00032","115","64.43","Beck-David Airlines","2002","2026","Maintenance"
"FL82950","229","23.98","Garcia LLC Airlines","2002","4269","Maintenance"
"FL35006","200","32.96","White, Le and Quinn Airlines","2005","13207","Retiré"
"FL64941","211","97.22","Robinson-Bruce Airlines","2015","13634","Maintenance"
"FL67784","179","81.27","Doyle Inc Airlines","2025","10753","Retiré"
"FL42300","140","72.13","Kline-Baker Airlines","2001","12220","Actif"
"FL35630","188","15.43","Estrada, Knight and Harris Airlines","2006","5242","Retiré"
"FL51842","378","80.13","Ford LLC Airlines","2012","10978","Maintenance"
"FL85491","316","57.76","Merritt Group Airlines","2003","3278","Retiré"
"FL28523","174","58.84","Holmes, Walker and Joyce Airlines","1999","13227","Actif"
"FL84424","108","91.1","Jacobs, Gould and Ball Airlines","2019","14213","Maintenance"
"FL30486","357","80.76","Cooper, Jones and Glass Airlines","2018","2385","Actif"
"FL53364","106","53.18","Benton, Howe and Myers Airlines","2015","11135","Retiré"
"FL23737","191","54.09","Duran-Hill Airlines","2006","14373","Actif"
"FL85524","276","39.94","Vargas, Parker and Pratt Airlines","2013","7609","Retiré"
"FL59061","162","79.52","Jacobson Group Airlines","1997","4272","Actif"
"FL89470","284","58.7","Hicks, Holder and Nguyen Airlines","2012","14128","Retiré"
"FL43369","371","65.35","Cox and Sons Airlines","1993","13725","Retiré"
"FL14091","276","33.7","Wilson, Sanford and Erickson Airlines","2008","9949","Actif"
"FL34007","288","89.23","Frazier-Cohen Airlines","2018","11627","Maintenance"
"FL35674","212","83.71","Snow, Martin and Tanner Airlines","2021","7488","Maintenance"
"FL50520","175","65.71","Gonzalez PLC Airlines","2010","14168","Retiré"
"FL40650","179","35.72","Zimmerman-Espinoza Airlines","2002","4356","Maintenance"
"FL15618","180","10.58","Harrell, Frost and Richardson Airlines","1992","13296","Maintenance"
"FL02030","256","51.92","Johnson-Kent Airlines","2016","7784","Actif"
"FL79276","202","59.34","Ritter Group Airlines","2012","6297","Retiré"
"FL82441","263","79.49","Fischer, Norris and Randall Airlines","2015","10735","Retiré"
"FL27772","226","96.05","Wilson, Johnson and Butler Airlines","2022","14191","Actif"
"FL99035","283","26.91","White-Brown Airlines","2000","11988","Retiré"
"FL59574","246","87.23","Rojas PLC Airlines","2004","11190","Retiré"
"FL20563","138","71.06","Spencer-Chambers Airlines","2025","7177","Actif"
"FL83538","236","96.97","Heath-Ortiz Airlines","1991","6712","Retiré"
"FL95811","355","51.37","Mooney PLC Airlines","2000","14747","Retiré"
"FL35033","121","63.48","Gonzalez-Mckay Airlines","2000","12230","Retiré"
"FL88930","287","86.61","Larson-Bowman Airlines","2017","10679","Actif"
"FL22069","264","62.46","Scott-Walker Airlines","2012","9886","Maintenance"
"FL42786","372","47.0","Davis Group Airlines","2023","5174","Actif"
"FL60729","361","49.19","Rangel-Frost Airlines","2018","7018","Retiré"
"FL38144","198","61.25","Harris and Sons Airlines","2013","7129","Maintenance"
"FL77912","162","59.11","Dennis-Williams Airlines","2005","2433","Retiré"
"FL84221","291","35.21","Mejia Ltd Airlines","2000","10296","Actif"
"FL33826","369","96.77","Chandler, Gillespie and Hampton Airlines","2001","9650","Actif"
"FL97496","392","84.12","Doyle, Bates and Powell Airlines","2025","14205","Actif"
"FL95751","367","22.2","Calderon Ltd Airlines","1993","2512","Maintenance"
"FL70124","340","27.47","Dominguez LLC Airlines","1994","2988","Retiré"
"FL56761","126","34.79","Casey-Murray Airlines","1991","10822","Maintenance"
"FL13192","312","10.13","Allison, Arnold and Pruitt Airlines","1990","3853","Maintenance"
"FL25123","232","87.05","Parker, Thompson and Robertson Airlines","2014","11079","Actif"
"FL76523","147","66.71","Richardson Ltd Airlines","2017","11962","Actif"
"FL70241","159","23.06","Roberts-Maldonado Airlines","2006","9507","Actif"
"FL40955","344","59.96","Little Ltd Airlines","1997","8764","Actif"
"FL07462","382","14.83","Morris Ltd Airlines","2022","3827","Maintenance"
"FL55073","322","60.42","Smith Ltd Airlines","2009","9043","Actif"
"FL72121","223","50.89","Gordon-Love Airlines","2006","8936","Maintenance"
"FL67494","344","52.33","Hooper, Hernandez and Stewart Airlines","1994","2256","Retiré"
"FL46002","342","18.75","Hardin Ltd Airlines","2011","8582","Retiré"
"FL56633","296","79.75","Harris PLC Airlines","1990","8583","Retiré"
"FL89082","179","75.41","Ward-Tucker Airlines","1992","12690","Maintenance"
"FL54000","153","41.78","Mclean, Carson and Mann Airlines","2006","9119","Retiré"
"FL01417","398","12.27","Murphy, Franco and Hunt Airlines","2004","4135","Maintenance"
"FL55712","196","32.98","Jefferson-Ward Airlines","1995","5060","Maintenance"
"FL35346","218","64.82","Miller Group Airlines","2012","8208","Maintenance"
"FL88232","276","20.35","Evans-Bridges Airlines","2008","6263","Maintenance"
