flight_id,origin,destination,date,airline,delay_min
1,ZJO,GPQ,2024-01-04,Southwest,19
2,LKH,FDY,2024-03-25,Delta,7
3,LYW,WOB,2024-02-24,United,22
4,YWE,GFY,2024-01-07,American,40
5,XWH,MFK,2024-01-28,Southwest,5
6,MFK,NCB,2024-02-18,American,5
7,QAH,EPR,2024-02-02,Spirit,41
8,LYW,HZP,2024-01-03,Alaska,25
9,GCH,USN,2024-02-14,United,0
10,WAS,KYZ,2024-03-24,Delta,20
11,QAH,CKI,2024-02-01,United,0
12,SFI,ZJO,2024-01-20,United,0
13,KPN,HZP,2024-03-26,Delta,14
14,FDY,ZVZ,2024-02-29,Alaska,0
15,ZBF,TOL,2024-02-17,United,0
16,FHC,LHA,2024-01-15,Spirit,0
17,PNW,CQU,2024-01-14,JetBlue,0
18,CKI,CQU,2024-03-14,Alaska,16
19,XWH,SEJ,2024-01-26,Delta,0
20,LKH,GGO,2024-03-21,United,0
21,GYW,YDD,2024-02-08,Spirit,39
22,YIC,KBJ,2024-01-16,Spirit,5
23,FDY,AFN,2024-02-14,JetBlue,11
24,WGE,GPX,2024-02-17,Delta,0
25,QCL,WOB,2024-02-13,Delta,0
26,EPR,SIE,2024-01-14,Southwest,12
27,ABW,QPE,2024-02-28,Alaska,0
28,WJE,XCK,2024-01-23,Alaska,17
29,OGW,WAS,2024-02-04,JetBlue,0
30,GPQ,ZQO,2024-03-02,Southwest,4
31,XCK,YFS,2024-03-16,American,0
32,MFK,BJZ,2024-01-12,American,47
33,OSE,BJZ,2024-02-29,JetBlue,9
34,KXL,HIT,2024-02-18,American,0
35,CKI,GDX,2024-02-11,United,26
36,SIE,ZVZ,2024-02-15,Spirit,0
37,RVU,NCB,2024-02-05,JetBlue,14
38,YDD,MBT,2024-03-12,Delta,0
39,OGW,VHB,2024-01-11,United,0
40,FXW,QPD,2024-03-03,JetBlue,13
41,PSF,VSP,2024-03-29,Southwest,24
42,WOB,GNE,2024-03-03,Southwest,13
43,SFI,NAI,2024-02-07,United,7
44,RNG,GGO,2024-02-01,American,3
45,GPX,EYC,2024-02-17,Southwest,0
46,PSB,AYW,2024-02-14,Southwest,0
47,LHA,PSB,2024-02-12,American,0
48,YDD,AFQ,2024-02-04,American,31
49,ZBF,TDM,2024-01-16,Alaska,16
50,VHB,ZRA,2024-01-16,Alaska,0
51,GPQ,PSF,2024-03-29,United,16
52,VHB,ZVZ,2024-03-02,American,2
53,FXW,LKH,2024-03-08,JetBlue,0
54,VQW,IPF,2024-01-25,American,22
55,TDM,ABW,2024-01-23,American,30
56,VHR,QGM,2024-03-09,United,28
57,MBT,AFN,2024-01-07,JetBlue,0
58,OMU,YDD,2024-01-17,Alaska,3
59,QAH,SIE,2024-01-14,Spirit,16
60,VHR,WIR,2024-02-06,Southwest,29
61,KFZ,VAU,2024-02-13,United,0
62,USN,ZBF,2024-03-02,Delta,6
63,KYZ,RNG,2024-03-03,Delta,0
64,WIR,WYC,2024-03-28,Delta,0
65,WJE,FDY,2024-02-08,Delta,26
66,BJZ,FAI,2024-03-12,Spirit,37
67,EPR,FHC,2024-03-17,Spirit,8
68,ZJO,OTB,2024-03-07,Southwest,30
69,OSE,VAU,2024-02-08,Spirit,17
70,LKH,WGE,2024-02-09,JetBlue,0
71,ZJO,GYL,2024-03-19,Alaska,17
72,IPF,PSF,2024-01-27,Alaska,40
73,ZVZ,RVU,2024-03-25,Delta,9
74,PNW,VSP,2024-01-23,JetBlue,41
75,ZNZ,PNW,2024-01-01,Southwest,0
76,OSE,GGO,2024-03-17,Southwest,26
77,OMU,LFO,2024-01-30,American,11
78,QGM,VQW,2024-03-30,Spirit,4
79,AFQ,ZNZ,2024-03-28,United,11
80,RVU,WYC,2024-03-16,Alaska,0
81,BLZ,WGE,2024-01-15,JetBlue,5
82,OTB,WOB,2024-01-20,American,17
83,GUL,ZNZ,2024-01-08,United,39
84,CQU,KBJ,2024-03-13,American,0
85,VAU,FAI,2024-02-29,Alaska,0
86,UEC,YDD,2024-02-21,American,0
87,QCL,GCH,2024-03-04,Southwest,28
88,LYW,KBJ,2024-01-06,Southwest,16
89,TOU,MFK,2024-03-18,American,0
